 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,vlcsnap-2021-01-13-15h51m37s876.png,376,149.979469523,127.844444275,170.264007568,-90.611131804,0,375.021332727
2,vlcsnap-2021-01-13-15h51m37s876.png,116,34.693409222,3.081E-10,92.275238037,-63.657888474,0,114.636623971
3,vlcsnap-2021-01-13-15h51m37s876.png,110,101.365844241,45.276691437,182.413894653,-83.717507912,0,109.402417199
