 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,vlcsnap-2021-01-13-15h52m04s150.png,382,162.909159516,143.307083130,180.140945435,-90.751869956,0,381.370627547
2,vlcsnap-2021-01-13-15h52m04s150.png,113,90.812384681,48.403060913,144.621597290,-64.119726330,0,112.270011827
3,vlcsnap-2021-01-13-15h52m04s150.png,109,89.807314637,34.374485016,172.712173462,-84.184373471,0,107.895525600
