 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 7.png,707,170.613044933,73.000000000,214.425765991,-178.315912109,180.398010254,706.054973072
2,Combined 7.png,709,157.538824595,59.333332062,193.881454468,-175.626119505,152.512496948,708.062144165
