 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 4.png,705,174.008327814,88.000000000,217.062500000,-178.535370195,186.029357910,704.230076040
2,Combined 4.png,706,172.665929270,69.962959290,202.095367432,-175.551414408,174.457946777,704.789960832
