 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 2.png,704,175.826186375,94,220.115737915,-178.695732309,188.418746948,702.932117989
2,Combined 2.png,707,161.952176484,63,200.863586426,-175.613742131,156.386077881,706.067985395
