 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 5.png,707,179.926832811,87.333335876,223.556045532,-178.529119376,192.204849243,706.107662648
2,Combined 5.png,709,174.040642602,73.020835876,207.271926880,-175.647826129,173.126876831,708.292400778
