 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 3.png,706,177.126855110,86.333335876,223.442596436,-178.587207382,189.699798584,704.714226212
2,Combined 3.png,706,167.974429728,74.555557251,196.840667725,-175.754094116,163.808349609,704.600458101
