 ,Label,Area,Mean,Min,Max,Angle,Median,Length
1,Combined 6.png,708,181.584030970,81.666664124,220.606475830,-178.378471855,189.677001953,706.783028942
2,Combined 6.png,710,161.193896135,62.479167938,198.755081177,-175.530008144,156.189758301,708.906287883
